요양기관명,시도코드명,시군구코드명,주소,전화번호,개설일자,좌표(x),좌표(y)
온누리건강백화점약국,인천,인천계양구,"인천광역시 계양구 계양문화로 96, 강북프라자 112~113호 (용종동)",032-545-1535,20190101,126.7372213,37.5392561
스포츠센타약국,경기,용인기흥구,"경기도 용인시 기흥구 구갈로 74, 1층 (구갈동, 구갈스포츠센타)",031-282-1977,20131227,127.1117759,37.2811344
오치종로약국,광주,광주북구,"광주광역시 북구 서하로 255, (오치동)",062-264-2829,19900720,126.9083293,35.1872157
다나약국,전남,화순군,"전라남도 화순군 화순읍 중앙로 19, (화순읍)",061-371-1413,19920813,126.983617,35.0605801
휴베이스 진월약국,광주,광주남구,"광주광역시 남구 서문대로 675, 1층 (진월동)",062-651-6422,20230112,126.8986876,35.1195748
행복이 가득한 수약국,서울,강북구,"서울특별시 강북구 도봉로 245, 1층 (미아동)",02-984-6388,20150209,127.0242706,37.630305
곡성종로약국,전남,곡성군,"전라남도 곡성군 곡성읍 중앙로 105, ()",363-7118,20190501,127.2942396,35.2808361
느티나무약국,전남,곡성군,"전라남도 곡성군 곡성읍 읍내14길 8, ()",061-363-9660,20190513,127.2960196,35.2808566
혜림약국,광주,광주광산구,"광주광역시 광산구 송도로 296, 세화산부인과 1층 (송정동)",062-942-9720,20190528,126.8007974,35.1393736
전남우리약국,전남,여수시,"전라남도 여수시 무선로 107, (선원동)",061-683-7284,20190530,127.6545966,34.7703654
삼성약국,광주,광주동구,"광주광역시 동구 남문로744번길 27, (학동)",062-226-9933,20220901,126.9261284,35.1381188
바른약국,전남,무안군,"전라남도 무안군 삼향읍 남악3로82번길 42, 가온빌딩 1층 101호",061-980-2511,20191031,126.4648817,34.8127007
유미약국,경기,평택시,"경기도 평택시 지산로 62, (지산동)",031-666-2577,20090416,127.06187,37.0796669
동신약국,부산,부산해운대구,"부산광역시 해운대구 중동1로 16, (우동)",051-746-2782,19770705,129.1618527,35.1635378
세종약국,부산,부산동래구,"부산광역시 동래구 명장로48번길 21, (명장동)",051-523-5152,19831213,129.1062738,35.2038433
새부산약국,부산,부산동구,"부산광역시 동구 중앙대로 206, (초량동, 부산역)",051-463-9443,20120810,129.0450602,35.1176051
건강약국,부산,부산수영구,"부산광역시 수영구 과정로 69, (망미동)",051-761-1820,20010117,129.1070255,35.1775723
상무종로약국,광주,광주서구,"광주광역시 서구 상무민주로 97, 1층 (쌍촌동)",062-382-7575,20191109,126.8591311,35.1591763
첨단나래약국,광주,광주북구,"광주광역시 북구 첨단연신로 101, 103호 (신용동)",062-671-3436,20191113,126.8640533,35.2070104
감초당약국,경기,하남시,"경기도 하남시 대청로 62-1, 101,102호 (신장동, 백조현대아파트 B상가 )",031-795-1366,19981221,127.2192784,37.5401747
하안종로약국,경기,광명시,"경기도 광명시 범안로 1043, (하안동, 원촌빌딩 1층)",02-805-8275,19981229,126.8786613,37.4623417
환도약국,경기,포천시,"경기도 포천시 소흘읍 솔모루로 52, (소흘읍)",031-542-3900,20070102,127.1449272,37.826817
한우리약국,경기,성남분당구,"경기도 성남시 분당구 장미로 139, 108호 (야탑동, 매화마을 공무원아파트)",031-708-3399,19990204,127.1357911,37.414552
장수약국,전남,곡성군,"전라남도 곡성군 옥과면 리문5길 7, 1층",061-363-7333,20200203,127.135888,35.2755996
효사랑 약국,광주,광주남구,"광주광역시 남구 양림로 54, (양림동)",062-654-2238,20100929,126.914786,35.1370406
정약국,광주,광주북구,"광주광역시 북구 중문로 84, (우산동)",,20200218,126.9209109,35.1799566
보화약국,광주,광주서구,"광주광역시 서구 화운로 277, 1층 (내방동)",062-371-4344,20200225,126.8652275,35.1635743
면목그랜드약국,서울,중랑구,"서울특별시 중랑구 사가정로 404, 1층,지층 (면목동)",02-435-8447,19990721,127.0897471,37.5806464
편안한약국,서울,중랑구,"서울특별시 중랑구 사가정로 398, JS빌딩 1층 (면목동)",02-495-1050,20180308,127.0888289,37.5802856
계림약국,광주,광주동구,"광주광역시 동구 경양로 282-1, 1층 (계림동)",062-226-2227,20201229,126.9202721,35.1546878
오약국,전남,목포시,"전라남도 목포시 청호로 193, 1층 (산정동)",061-279-2626,20190802,126.3716906,34.8074092
청해약국,전남,완도군,"전라남도 완도군 노화읍 이포길 27-1, ()",061-552-2775,20210106,126.573382,34.1762697
하하약국,전남,순천시,"전라남도 순천시 해룡면 향매로 135, 금화빌딩 101호",061-725-1412,20210215,127.5540921,34.9326474
사거리약국,경북,포항남구,"경상북도 포항시 남구 연일읍 철강로25번길 52, ()",054-285-6447,19910426,129.3461321,35.9962203
강남약국,대구,대구달서구,"대구광역시 달서구 도원로 20, (도원동)",053-641-7120,20030820,128.5355183,35.8079897
무지개약국,광주,광주서구,"광주광역시 서구 경열로 118, 1층 (양동)",062-369-8718,20210217,126.8989732,35.1526573
백약국,광주,광주광산구,"광주광역시 광산구 남부대길 10, 공학관(복지관) (월계동)",062-972-7651,20180112,126.8421989,35.2086093
나주태평양약국,전남,나주시,"전라남도 나주시 나주로 197, 1층 (중앙동)",061-332-7577,20210302,126.7214644,35.0342586
은약국,광주,광주남구,"광주광역시 남구 대남대로 337, (월산동)",062-369-7447,20000705,126.8930847,35.1416629
라임약국,광주,광주광산구,"광주광역시 광산구 수등로 270, (신가동)",062-956-3646,20210518,126.8383314,35.1849785
닥터스팜한약국,전남,여수시,"전라남도 여수시 흙산로 15, 2층 (공화동)",061-663-2111,20210615,127.7433009,34.7443575
우리약국,광주,광주광산구,"광주광역시 광산구 동곡로 739, 105호 (선암동)",062-945-6354,20210701,126.7778703,35.1475085
신대타운온누리약국,전남,순천시,"전라남도 순천시 해룡면 향매로 59, 신대타운 1층 102호",,20190502,127.5461465,34.9346455
여수알파약국,전남,여수시,"전라남도 여수시 동문로 64, (관문동)",061-662-4143,20210720,127.7409576,34.7425177
건강온누리약국,경기,광주시,"경기도 광주시 퇴촌면 광동로 75-1, ()",031-765-8925,19991231,127.3107647,37.4706253
건강한약국,인천,인천부평구,"인천광역시 부평구 동암남로 4, 103호 (십정동, 리치프라자)",032-427-8238,20101129,126.7038092,37.4708566
옵티마부평성모약국,인천,인천부평구,"인천광역시 부평구 육동로 2, (부평동)",032-505-2035,19991224,126.7248025,37.4855526
간석온누리약국,인천,인천남동구,"인천광역시 남동구 경원대로 971, (간석동, 홈플러스 2층일부)",868-6682,20030501,126.6891014,37.4695704
이룸미소약국,경기,화성시,"경기도 화성시 봉담읍 상리1길 109, 101호",031-297-3380,20211007,126.9419645,37.2275568
혜성프라자약국,인천,인천부평구,"인천광역시 부평구 원적로 434, (산곡동, 혜성프라자111호,113호)",032-516-6881,20160812,126.7146268,37.503328
메디팜명문약국,전남,목포시,"전라남도 목포시 이로로 14, (용해동)",061-274-1985,19870404,126.405621,34.8043817
호남약국,전남,목포시,"전라남도 목포시 영산로 95-2, (명륜동)",061-279-5111,19871110,126.3856355,34.7911856
박약국,전남,순천시,"전라남도 순천시 환선로 128, (석현동)",061-752-0332,20030722,127.4875307,34.9668423
청화약국,경기,수원장안구,"경기도 수원시 장안구 정조로 1039, (송죽동, 송죽빌딩)",031-246-4161,19871021,127.0063971,37.2987215
최약국,경기,안산단원구,"경기도 안산시 단원구 선부광장1로 66, 203호 (선부동)",031-480-0410,20000929,126.8116146,37.3361319
금호약국,경기,수원권선구,"경기도 수원시 권선구 매실로 70, (호매실동)",031-292-9107,20081031,126.9597324,37.2680736
선재약국,전남,여수시,"전라남도 여수시 쌍봉로 24, (학동)",061-686-8858,19990712,127.6586854,34.7662748
전남약국,전남,화순군,"전라남도 화순군 화순읍 중앙로 171, (화순읍)",061-375-3676,20040610,127.000208,35.0606029
로타리약국,전남,여수시,"전라남도 여수시 여서로 164-1, (여서동)",061-652-0131,20070201,127.7000508,34.7480041
사거리약국,전남,함평군,"전라남도 함평군 학교면 함영로 501-3, (학교면)",061-323-6018,20010310,126.5326038,35.0219491
바다약국,전남,목포시,"전라남도 목포시 백년대로 291, (상동)",061-280-2888,19950118,126.419575,34.803998
신화약국,전남,장흥군,"전라남도 장흥군 장흥읍 동교1길 22, ()",061-863-7090,20220304,126.9080735,34.6770273
수한약국,광주,광주광산구,"광주광역시 광산구 목련로 74, 1층 (산정동)",,20220307,126.8057347,35.1721581
온누리이레약국,인천,인천남동구,"인천광역시 남동구 경인로644번길 28-1, (간석동)",425-3806,20080123,126.7096834,37.4667946
행복한약국,경기,고양일산동구,"경기도 고양시 일산동구 강송로73번길 7-19, 1층 (백석동)",031-908-7733,20020903,126.7908337,37.6458433
메디팜해성약국,경기,부천시,"경기도 부천시 조마루로386번길 61, (원미동)",032-613-5028,20000627,126.7860487,37.4951534
지성약국,경기,고양일산서구,"경기도 고양시 일산서구 중앙로 1419, 102호 (주엽동, 정도프라자)",031-917-2230,20000620,126.7622954,37.6693196
조은약국,인천,인천동구,"인천광역시 동구 송림로 76, 1층 102호 (송림동)",032-773-9290,20120405,126.6433207,37.4751151
남해약국,전남,여수시,"전라남도 여수시 쌍봉로 27-1, (학동)",061-681-4055,19850207,127.6590936,34.7667931
맑은약국,전남,완도군,"전라남도 완도군 완도읍 개포로130번길 15, ()",,20220315,126.7445269,34.3188619
신비약국,광주,광주광산구,"광주광역시 광산구 비아중앙로 33, (비아동)",062-954-0012,20150804,126.8246587,35.2219303
신기메디칼약국,인천,인천미추홀구,"인천광역시 미추홀구 인하로 273, (주안동)",070-4575-8358,20110321,126.6785536,37.4483381
광명로약국,경기,성남중원구,"경기도 성남시 중원구 광명로 327, 1층 (금광동)",070-4193-5800,20130729,127.1622263,37.4455954
메디팜건강약국,경기,안산상록구,"경기도 안산시 상록구 용신로 393, 307호 (본오동, 청암빌딩)",031-501-3007,20000801,126.865907,37.3019021
풍무우리들약국,경기,김포시,"경기도 김포시 유현로238번길 31, 웅신타워 3층 301호 (풍무동)",031-996-4321,20000802,126.7328464,37.6113971
동원텔약국,경기,고양덕양구,"경기도 고양시 덕양구 화정로 47, 301호 (화정동, 동원텔)",031-815-8112,20130531,126.831434,37.6351638
대학로약국,경기,평택시,"경기도 평택시 평택로 282, (세교동)",031-691-9876,19990122,127.073405,37.0083577
영통주민약국,경기,수원영통구,"경기도 수원시 영통구 영통로 460, 103호 (영통동, 대우동신상가)",031-204-6855,20070118,127.0776126,37.2597003
중앙약국,경기,평택시,"경기도 평택시 안중읍 안현로서6길 18, (안중읍)",031-683-0963,20070206,126.9274119,36.9841948
대덕프라자약국,경기,성남분당구,"경기도 성남시 분당구 성남대로926번길 6, 410호 (야탑동, 야탑 대덕프라자)",031-702-4766,20060907,127.1298637,37.4121577
감골약국,경기,안산상록구,"경기도 안산시 상록구 석호로 184, (사동)",031-502-3779,20000617,126.8517288,37.2960386
정문약국,광주,광주남구,"광주광역시 남구 양림로 34-1, (양림동)",062-651-8563,20150610,126.9129215,35.1365062
현대1번약국,광주,광주북구,"광주광역시 북구 설죽로 297, (용봉동)",062-574-4869,20160801,126.8980642,35.1861575
하늘약국,서울,금천구,"서울특별시 금천구 금하로 720, 306호 (시흥동, 에벤에셀프라자)",02-809-8019,20090112,126.909473,37.4504709
서울시니어스약국,서울,중구,"서울특별시 중구 다산로 72, 1층 (신당동, 서울시니어스타워)",02-2237-5123,20000619,127.008075,37.5509046
일등약국,부산,부산북구,"부산광역시 북구 백양대로 1025, 103,4호 (구포동, 협진태양아파트)",051-336-6966,20201229,128.995157,35.1978559
한빛약국,부산,부산동구,"부산광역시 동구 고관로 155-1, (좌천동)",647-1172,20100104,129.0500399,35.1312671
보건약국,서울,동작구,"서울특별시 동작구 장승배기로10길 43, (상도동)",02-824-9447,19930908,126.9413389,37.5046598
논현연세약국,서울,강남구,"서울특별시 강남구 강남대로122길 50, 1층 일부호 (논현동)",02-3446-2273,20111226,127.0270957,37.5088851
반여약국,부산,부산해운대구,"부산광역시 해운대구 선수촌로 65-25, 우진빌딩 (반여동)",051-523-5551,20210122,129.1175268,35.1996918
새빛약국,부산,부산남구,"부산광역시 남구 수영로 163, 1층 101호 (대연동)",051-208-7119,20220701,129.0844327,35.1349506
이레약국,경기,의왕시,"경기도 의왕시 경수대로 236, 2층 (고천동)",031-455-7473,20000821,126.9745302,37.3479417
21세기맑은약국,인천,인천부평구,"인천광역시 부평구 길주로 623, 지하2층 (삼산동)",032-363-2201,20071220,126.7320632,37.5083726
신아약국,경기,구리시,"경기도 구리시 건원대로34번길 25, 신아월드코아 104~105호 (인창동)",031-568-4004,20000708,127.1417628,37.6045869
영광약국,전북,전주덕진구,"전라북도 전주시 덕진구 건지로 13, (금암동)",063-271-2737,20000805,127.1423537,35.8448219
우산약국,광주,광주광산구,"광주광역시 광산구 금봉로 107, (우산동)",062-942-6030,20101215,126.8104078,35.1521565
동천약국,광주,광주서구,"광주광역시 서구 동천로 17, (동천동)",062-511-1155,20120201,126.8600831,35.1704303
옥서약국,전북,군산시,"전라북도 군산시 옥서면 옥구저수지로 219-1, 나동",063-471-2009,20010806,126.6441375,35.924115
동산약국,부산,부산수영구,"부산광역시 수영구 과정로 41, (망미동)",051-754-7820,19820629,129.1074109,35.1749224
가야약국,부산,부산사하구,"부산광역시 사하구 하신번영로 233, 227동 107호 (하단동, 가락타운2단지아파트)",051-206-1629,20080822,128.9574385,35.1014214
조은약국,부산,부산수영구,"부산광역시 수영구 수영로 491, (남천동)",051-623-7673,20050218,129.1105844,35.1497774
동림약국,부산,부산수영구,"부산광역시 수영구 구락로75번길 4, (망미동)",051-754-1467,19790626,129.116915,35.1739298
명인당약국,경북,구미시,"경상북도 구미시 인동가산로 33, (인의동)",054-471-2044,20060814,128.4199544,36.1062739
삼우약국,부산,부산사상구,"부산광역시 사상구 사상로224번길 39, (괘법동)",051-315-7971,19790502,128.9853012,35.1657824
메디팜민제약국,부산,부산영도구,"부산광역시 영도구 태종로 106-1, (영선동1가)",051-413-8664,19940607,129.042355,35.0910335
영진약국,부산,부산수영구,"부산광역시 수영구 수영로 707, (수영동)",051-752-1316,19780125,129.1167015,35.1681247
바른길약국,광주,광주북구,"광주광역시 북구 임동로 6, 101호 (임동)",062-522-9700,20220825,126.8967075,35.1607119
바다약국,경기,남양주시,"경기도 남양주시 진건읍 진건오남로 69, ()",031-573-4883,20001006,127.1783055,37.6568976
분당수약국,경기,성남분당구,"경기도 성남시 분당구 정자로 13, 108호 (정자동, 월드비터)",031-719-6600,20060131,127.10633,37.3637163
건강약국,경기,고양덕양구,"경기도 고양시 덕양구 호국로 792, 1층 (성사동, 천일빌딩)",031-963-9639,20001013,126.8366454,37.6566317
메디팜열린약국,경기,수원팔달구,"경기도 수원시 팔달구 권광로 146, 108호 (인계동, 벽산그랜드코아)",031-233-4457,20120412,127.0318445,37.2604672
대한약국,인천,인천동구,"인천광역시 동구 송림로 81, 1층 (송림동)",032-762-2421,20070201,126.6437936,37.4758166
옵티마대학약국,인천,인천중구,"인천광역시 중구 서해대로 366, (신흥동3가)",032-885-1199,20050104,126.6327414,37.4585172
시온약국,경기,오산시,"경기도 오산시 청학로173번길 18, (수청동)",031-375-4715,20070131,127.0620078,37.164166
영진약국,경기,고양덕양구,"경기도 고양시 덕양구 호국로790번길 42-2, (성사동)",031-969-1945,20001014,126.8380143,37.6554476
호산나약국,경기,고양덕양구,"경기도 고양시 덕양구 중앙로558번길 16-6, 1층 (행신동, 신일빌딩)",031-979-0905,20120730,126.8361463,37.6240303
한마음약국,광주,광주광산구,"광주광역시 광산구 손재로 1, (산정동)",062-953-0250,20010331,126.8013664,35.1668738
후문약국,서울,성동구,"서울특별시 성동구 마조로 22-3, 1층 (행당동)",02-2299-7800,20160714,127.0414335,37.5598296
하늘약국,경기,시흥시,"경기도 시흥시 복지로 3, 402호 (신천동, 유암타워)",031-314-5155,20001023,126.7868685,37.4403255
우정약국,경기,부천시,"경기도 부천시 경인로 511, 5층 (괴안동)",032-524-2221,20070724,126.8119043,37.4847041
더편한약국,경기,용인처인구,"경기도 용인시 처인구 금령로 64, 아이렉스타워 101호 (김량장동)",031-333-5016,20180828,127.2036379,37.2346185
새천년건강약국,경기,안산상록구,"경기도 안산시 상록구 도매시장로 41, (이동, 장현빌딩)",031-419-5516,20150831,126.8595021,37.3105359
구리종로약국,경기,구리시,"경기도 구리시 건원대로 59, (인창동)",031-555-0015,20120103,127.1391577,37.6063656
대명약국,경기,안산단원구,"경기도 안산시 단원구 선부광장1로 182, 104호 (선부동, 송천빌딩)",031-487-9984,20160329,126.8070624,37.3335345
한사랑약국,경기,성남수정구,"경기도 성남시 수정구 산성대로 395, 1층 101호 (단대동)",031-741-0059,20020214,127.1576727,37.4474644
안데르센약국,경기,수원영통구,"경기도 수원시 영통구 동탄원천로881번길 58, 106호 (매탄동, 아이샘프라자)",031-213-5405,20150209,127.0425707,37.2556918
일곱빛약국,경기,용인처인구,"경기도 용인시 처인구 모현면 백옥대로 2410, (모현면)",031-334-2577,20150330,127.2502904,37.3386054
하나로약국,전남,완도군,"전라남도 완도군 완도읍 청해진동로 66, (완도읍)",061-554-2526,20180301,126.7359414,34.3176619
부부약국,전남,여수시,"전라남도 여수시 중앙로 61-1, (교동)",061-665-2468,20010210,127.7343953,34.7403151
아빠약국,광주,광주남구,"광주광역시 남구 효천중앙로 64, 블루타워 102호 (임암동)",062-672-1694,20190809,126.8755804,35.102112
금호약국,부산,부산영도구,"부산광역시 영도구 청학로 91, (청학동)",051-412-3482,19830615,129.0610509,35.0963751
마음애약국,부산,부산북구,"부산광역시 북구 덕천로 300, (만덕동)",070-7797-1074,20151008,129.0367105,35.2093272
시야약국,부산,부산진구,"부산광역시 부산진구 새싹로 22-1, 라이프빌리지 (부전동)",051-917-6783,20210324,129.0576686,35.1599048
누리온누리약국,서울,광진구,"서울특별시 광진구 자양로15길 18, 1층 (자양동, 혜성빌딩)",02-446-0245,20170102,127.0825545,37.5358263
정다운약국,부산,부산금정구,"부산광역시 금정구 부곡로 118, 1층 (부곡동)",051-582-3692,19930819,129.0920353,35.2263484
미래약국,부산,부산동래구,"부산광역시 동래구 사직북로 4, 1층 123호 (사직동, 사직동 자이언츠 파크)",051-507-1818,20150922,129.0613598,35.1962582
미소큰약국,전남,순천시,"전라남도 순천시 조례1길 10-21, (조례동)",061-725-7151,20220919,127.5223892,34.9596105
샘터온누리약국,경기,고양일산동구,"경기도 고양시 일산동구 하늘마을1로 2, 107호 (중산동, 풍산프라자)",031-976-3105,20130215,126.7860201,37.6745313
메디칼약국,경기,부천시,"경기도 부천시 도약로 29, 103호 (상동)",032-324-6877,20001030,126.7526585,37.5126629
안심약국,경북,구미시,"경상북도 구미시 구미중앙로 121, (원평동)",054-454-6002,20150303,128.3355401,36.1273129
부광약국,부산,부산진구,"부산광역시 부산진구 전포대로 170, (전포동, 유성헤네스타워 B102)",051-897-5283,19860911,129.0658935,35.1518175
한사랑약국,부산,부산남구,"부산광역시 남구 석포로 69-1, (대연동)",051-624-2045,20010822,129.0879151,35.1243881
옵티마소정약국,경기,용인기흥구,"경기도 용인시 기흥구 동백중앙로 283, C동 508-1호 (중동, 골드프라자)",031-202-9402,20170728,127.1534878,37.278013
임약국,서울,관악구,"서울특별시 관악구 신림로 318, 6층 (신림동, 청암두산위브센티움)",02-885-6030,20160601,126.9302485,37.4825924
행복나눔약국,경기,화성시,"경기도 화성시 영통로61번길 6, 117호 (반월동, 제일프라자)",031-273-8939,20100316,127.0611248,37.2355008
명약국,경기,성남수정구,"경기도 성남시 수정구 수정로 167, 2층 (태평동)",031-756-0870,20001031,127.1385844,37.4432127
제세약국,경기,평택시,"경기도 평택시 조개터로42번길 58, (합정동)",031-651-7714,20000921,127.1058209,36.9901597
서울약국,경기,구리시,"경기도 구리시 체육관로 170, (수택동)",031-569-0074,20020501,127.1363726,37.599753
연수건강옵티마약국,인천,인천연수구,"인천광역시 연수구 청능대로 103, 1층 (연수동, BYC빌딩)",032-821-7770,20020514,126.6762951,37.4136449
한솔약국,인천,인천계양구,"인천광역시 계양구 효서로 380, 106~107호 (작전동, 신현대타운)",032-556-8215,20160601,126.7381957,37.5275373
늘푸른약국,경기,평택시,"경기도 평택시 송탄로371번길 14, (지산동)",031-665-0805,20021202,127.0569619,37.0768457
바디엔약국,전남,무안군,"전라남도 무안군 삼향읍 남악3로 56, 연세메디타워 104호",061-285-0610,20230120,126.4606986,34.810509
신둔약국,경기,이천시,"경기도 이천시 신둔면 원적로 140, ()",031-631-1334,20101215,127.4081612,37.3176082
소망약국,경기,안양동안구,"경기도 안양시 동안구 평촌대로211번길 16, 삼희월드프라자 109,110호 (호계동)",031-383-7942,20020924,126.9550317,37.390377
메디팜우호약국,경북,포항북구,"경상북도 포항시 북구 두호로 26, (두호동)",054-272-4523,19840806,129.3755497,36.0601974
하이팜약국,경기,오산시,"경기도 오산시 운암로 92, 가상가동 107호 (부산동, 오산운암3단지주공아파트)",031-373-7522,20051212,127.0778262,37.1544294
청학e-조은약국,경기,남양주시,"경기도 남양주시 별내면 청학로68번길 13, (삼화빌딩 1층)",031-847-4954,20030228,127.119373,37.7085592
자연온누리약국,경기,고양일산동구,"경기도 고양시 일산동구 중산로 117, 105.106호 (중산동, 성도빌딩)",031-908-2550,20130715,126.7810874,37.6825551
프라자약국,경기,수원권선구,"경기도 수원시 권선구 수인로 291, 1층 (구운동, 서수원터미널)",031-296-0102,20050816,126.9705288,37.2827818
새분당서울약국,경기,성남분당구,"경기도 성남시 분당구 돌마로 75, 106호 (금곡동, 미금프라자)",031-714-7975,20090604,127.1104347,37.350393
해솔약국,경기,고양덕양구,"경기도 고양시 덕양구 화중로 54, 서일빌딩 110호 (화정동)",031-979-9465,20180122,126.8307629,37.6319319
김약국,전남,함평군,"전라남도 함평군 함평읍 서부길 94-6, ()",061-322-8277,20220926,126.5206391,35.0624387
상무참약국,광주,광주서구,"광주광역시 서구 운천로 223, (치평동)",062-418-9428,20220929,126.8544019,35.152276
대형약국,전남,나주시,"전라남도 나주시 도민길 24-3, 에스엠주차타워 104,105호 (빛가람동)",061-332-8555,20221024,126.7989921,35.0235751
데일리약국,전남,여수시,"전라남도 여수시 시청로 15, 1층 (학동)",061-685-3557,20221114,127.6624931,34.7631666
진약국,경기,수원영통구,"경기도 수원시 영통구 봉영로1517번길 23, 1층 (영통동, 벽적골9단지주공아파트상가 )",031-206-7937,20001107,127.0666214,37.2486079
안양새천년약국,경기,안양만안구,"경기도 안양시 만안구 경수대로 1173, 1층 (안양동)",031-473-3258,20021203,126.9174829,37.4151155
부평자애약국,인천,인천부평구,"인천광역시 부평구 동수로 50, (부평동)",032-508-4098,20120914,126.724136,37.4851102
대문약국,경기,안양동안구,"경기도 안양시 동안구 관악대로 297, 1층 (관양동)",386-0324,20110706,126.9558756,37.4031943
화정아빠약국,광주,광주서구,"광주광역시 서구 월드컵4강로 38, 102호 (화정동)",062-375-1449,20221114,126.8760771,35.1406347
하나약국,전남,보성군,"전라남도 보성군 벌교읍 홍암로 80, ()",061-857-6076,20171211,127.3512985,34.8469209
삼성약국,광주,광주남구,"광주광역시 남구 양림로 36, (양림동)",062-651-1313,20150205,126.9130316,35.1365418
휴베이스정겨운약국,광주,광주광산구,"광주광역시 광산구 목련로153번길 85, (운남동)",962-6422,20131114,126.8144225,35.1757987
프렌즈약국,광주,광주동구,"광주광역시 동구 제봉로 48, (남동)",062-233-0966,20230105,126.9207811,35.1427763
굿모닝약국,경기,안산단원구,"경기도 안산시 단원구 화랑로 358, 209호 (고잔동, 자유센터빌딩)",031-413-0273,20001102,126.8274895,37.3210011
수약국,경기,안산상록구,"경기도 안산시 상록구 예술광장로 31, 파크프라자 106호 (월피동)",031-482-2483,20001102,126.8475137,37.3286154
두리약국,경기,고양일산서구,"경기도 고양시 일산서구 일현로 53, 111호 (탄현동, 메디누리)",031-925-7582,20030403,126.7630155,37.6919635
보라약국,전남,목포시,"전라남도 목포시 백년대로 258, 1층 (상동)",061-285-2637,20230201,126.4167393,34.8016464
청춘약국,전남,광양시,"전라남도 광양시 발섬5길 9, (중동)",061-818-4333,20230202,127.6997969,34.9355096
해맑은약국,서울,은평구,"서울특별시 은평구 응암로 188-1, (응암동)",02-306-7555,20150330,126.9171699,37.5887304
압구정길약국,서울,강남구,"서울특별시 강남구 압구정로 130, 종화빌딩 1층 (신사동)",070-8844-1195,20190729,127.0229421,37.5241491
온누리시장약국,전남,광양시,"전라남도 광양시 공영로 73, 1층 (중동)",061-792-7060,20121101,127.69716,34.9360437
새국민약국,서울,성북구,"서울특별시 성북구 화랑로 91, (하월곡동)",02-909-3463,20150109,127.0421269,37.6029883
보건약국,경북,포항남구,"경상북도 포항시 남구 청림서길 13, (청림동)",054-292-4866,19770627,129.4121845,35.9954947
수퍼약국,경북,포항북구,"경상북도 포항시 북구 죽도로 27, (죽도동)",054-241-1590,19820903,129.3641295,36.034155
뿌리약국,서울,서초구,"서울특별시 서초구 방배로 177, (방배동, 레마빌딩)",02-3482-7280,20161031,126.9922893,37.4892993
한길약국,서울,성동구,"서울특별시 성동구 동일로 261, 건국빌딩 1층 (송정동)",02-467-8231,20200729,127.0709394,37.5548721
세종약국,경기,구리시,"경기도 구리시 이문안로 128, 108호 (토평동, 새롬상가)",031-567-8875,20020822,127.1456049,37.5911061
다사랑온누리약국,경기,부천시,"경기도 부천시 범안로 31, 107호 (괴안동, 명성프라자)",032-351-8856,20050425,126.8072824,37.478939
사랑한약국,광주,광주북구,"광주광역시 북구 호동로 65, (문흥동)",062-266-9580,20001120,126.9179004,35.1774922
새서울약국,전남,화순군,"전라남도 화순군 춘양면 춘양로 94-1, (춘양면)",061-375-6323,20081203,126.9610256,34.9509537
성심약국,전남,영광군,"전라남도 영광군 영광읍 신남로 200, (영광읍)",061-351-0903,19970602,126.503777,35.2757517
메디팜인제약국,광주,광주서구,"광주광역시 서구 화운로193번길 28, 1층 (내방동)",062-383-4256,20021031,126.87371,35.1563525
건강약국,전남,목포시,"전라남도 목포시 중화길 16, (상동)",061-272-7453,20050214,126.4160133,34.8092781
위드팜센터약국,서울,구로구,"서울특별시 구로구 구로동로 151, 코지하우스 1층 (구로동)",02-830-3995,20220207,126.8834639,37.4921651
킴스백화점약국,경기,고양덕양구,"경기도 고양시 덕양구 화신로260번길 51, 현창빌딩 1층 (화정동)",031-979-8584,20030506,126.8326757,37.6330288
녹십자약국,경기,포천시,"경기도 포천시 중앙로 145, (신읍동)",,20210805,127.2046516,37.8990288
현대프라자약국,경기,의왕시,"경기도 의왕시 모락로 16, 304호 (오전동)",031-427-1255,20131230,126.9670896,37.3594858
성남약국,경기,성남중원구,"경기도 성남시 중원구 산성대로 352, 1층 (중앙동)",031-747-6188,20070327,127.1555392,37.4438094
용봉약국,광주,광주북구,"광주광역시 북구 반룡로27번길 11, (용봉동)",062-523-2368,19920702,126.9011894,35.1796422
행복주는약국,전남,순천시,"전라남도 순천시 중앙로 67, (저전동)",061-746-8282,20111230,127.4835143,34.9516326
새롬약국,경기,안산단원구,"경기도 안산시 단원구 선부광장1로 118, 105호 (선부동)",031-484-6659,20001215,126.8120554,37.3327891
삼성약국,충남,아산시,"충청남도 아산시 둔포면 아산밸리중앙로 85, ()",041-531-1070,20190531,127.0573992,36.9237259
전약국,경북,의성군,"경상북도 의성군 의성읍 문소3길 98, 98",054-833-3734,20151111,128.6945919,36.3547509
오약국,서울,영등포구,"서울특별시 영등포구 당산로 163, (당산동4가)",02-2068-5005,20021128,126.8978726,37.5291973
동대약국,충남,보령시,"충청남도 보령시 수로길 2, (동대동)",041-934-6699,20181201,126.6091626,36.346609
메디팜인하약국,인천,인천중구,"인천광역시 중구 인항로 34, 현대상가 (신흥동3가)",032-889-1580,20150202,126.6340998,37.4571884
양지중앙약국,경기,용인처인구,"경기도 용인시 처인구 양지면 양지로 140, (양지면)",031-321-8911,20050114,127.2837996,37.2343437
